// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Nauka\Repos\EntityFramework-7\EntityFrameworkNews\FirstVsSingle\bin\Release\net7.0\90eae7c1-639f-4867-b383-c1ed1733c0eb
// command took 2,71s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Nauka\Repos\EntityFramework-7\EntityFrameworkNews\FirstVsSingle\bin\Release\net7.0\90eae7c1-639f-4867-b383-c1ed1733c0eb
// command took 17,59s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Nauka\Repos\EntityFramework-7\EntityFrameworkNews\FirstVsSingle\bin\Release\net7.0\90eae7c1-639f-4867-b383-c1ed1733c0eb
// command took 3,69s and exited with 0
// ***** Done, took 00:00:24 (24.39 sec)   *****
// Found 2 benchmarks:
//   OrderService.SingleOrDefault: DefaultJob
//   OrderService.FirstOrDefault: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Wysoka wydajność)
// **************************
// Benchmark: OrderService.SingleOrDefault: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 90eae7c1-639f-4867-b383-c1ed1733c0eb.dll --anonymousPipes 1484 1072 --benchmarkName FirstVsSingle.OrderService.SingleOrDefault --job Default --benchmarkId 0 in D:\Nauka\Repos\EntityFramework-7\EntityFrameworkNews\FirstVsSingle\bin\Release\net7.0\90eae7c1-639f-4867-b383-c1ed1733c0eb\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 343200.00 ns, 343.2000 us/op
WorkloadJitting  1: 1 op, 391600.00 ns, 391.6000 us/op

OverheadJitting  2: 16 op, 187900.00 ns, 11.7438 us/op
WorkloadJitting  2: 16 op, 305900.00 ns, 19.1187 us/op

WorkloadPilot    1: 16 op, 21400.00 ns, 1.3375 us/op
WorkloadPilot    2: 32 op, 16300.00 ns, 509.3750 ns/op
WorkloadPilot    3: 64 op, 4700.00 ns, 73.4375 ns/op
WorkloadPilot    4: 128 op, 7500.00 ns, 58.5938 ns/op
